,Price1,Date_time,Open,Prev_close,Day_high,Day_low,Change1
1,"1,176.10","Nov 22,2021 11:38 AM","1,188.10","1,186.60","1,196.80","1,166.00",-10.5
1,"1,175.45","Nov 22,2021 11:39 AM","1,188.10","1,186.60","1,196.80","1,166.00",-11.15
1,"1,175.00","Nov 22,2021 11:40 AM","1,188.10","1,186.60","1,196.80","1,166.00",-11.6
1,"1,175.40","Nov 22,2021 11:41 AM","1,188.10","1,186.60","1,196.80","1,166.00",-11.2
1,"1,175.75","Nov 22,2021 11:42 AM","1,188.10","1,186.60","1,196.80","1,166.00",-10.85
1,"1,174.05","Nov 22,2021 11:43 AM","1,188.10","1,186.60","1,196.80","1,166.00",-12.55
1,"1,174.65","Nov 22,2021 11:44 AM","1,188.10","1,186.60","1,196.80","1,166.00",-11.95
1,"1,174.35","Nov 22,2021 11:45 AM","1,188.10","1,186.60","1,196.80","1,166.00",-12.25
1,"1,174.10","Nov 22,2021 11:46 AM","1,188.10","1,186.60","1,196.80","1,166.00",-12.5
1,"1,174.65","Nov 22,2021 11:47 AM","1,188.10","1,186.60","1,196.80","1,166.00",-11.95
1,"1,175.20","Nov 22,2021 11:48 AM","1,188.10","1,186.60","1,196.80","1,166.00",-11.4
1,"1,175.40","Nov 22,2021 11:49 AM","1,188.10","1,186.60","1,196.80","1,166.00",-11.2
1,"1,173.20","Nov 22,2021 11:50 AM","1,188.10","1,186.60","1,196.80","1,166.00",-13.4
1,"1,173.40","Nov 22,2021 11:51 AM","1,188.10","1,186.60","1,196.80",,-13.2
1,"1,173.90","Nov 22,2021 11:52 AM","1,188.10","1,186.60","1,196.80","1,166.00",-12.7
1,"1,174.00","Nov 22,2021 11:53 AM","1,188.10","1,186.60","1,196.80","1,166.00",-12.6
1,"1,173.90","Nov 22,2021 11:54 AM","1,188.10","1,186.60","1,196.80","1,166.00",-12.7
1,"1,173.55","Nov 22,2021 11:55 AM","1,188.10","1,186.60","1,196.80","1,166.00",-13.05
1,"1,176.05","Nov 22,2021 11:56 AM","1,188.10","1,186.60","1,196.80","1,166.00",-10.55
1,"1,174.75","Nov 22,2021 11:57 AM","1,188.10","1,186.60","1,196.80","1,166.00",-11.85
1,"1,172.75","Nov 22,2021 11:58 AM","1,188.10","1,186.60","1,196.80","1,166.00",-13.85
1,"1,173.20","Nov 22,2021 11:59 AM","1,188.10","1,186.60","1,196.80","1,166.00",-13.4
1,"1,172.00","Nov 22,2021 12:00 PM","1,188.10","1,186.60","1,196.80","1,166.00",-14.6
1,"1,173.60","Nov 22,2021 12:01 PM","1,188.10","1,186.60","1,196.80","1,166.00",-13
1,"1,173.85","Nov 22,2021 12:02 PM","1,188.10","1,186.60","1,196.80","1,166.00",-12.75
1,"1,172.90","Nov 22,2021 12:03 PM","1,188.10","1,186.60","1,196.80","1,166.00",-13.7
1,"1,171.40","Nov 22,2021 12:04 PM","1,188.10","1,186.60","1,196.80","1,166.00",-15.2
1,"1,170.15","Nov 22,2021 12:05 PM","1,188.10","1,186.60","1,196.80","1,166.00",-16.45
1,"1,169.40","Nov 22,2021 12:06 PM","1,188.10","1,186.60","1,196.80","1,166.00",-17.2
1,"1,168.25","Nov 22,2021 12:07 PM","1,188.10","1,186.60","1,196.80","1,166.00",-18.35
1,"1,166.80","Nov 22,2021 12:08 PM","1,188.10","1,186.60","1,196.80","1,166.00",-19.8
1,"1,165.65","Nov 22,2021 12:09 PM","1,188.10","1,186.60","1,196.80","1,165.10",-20.95
1,"1,168.90","Nov 22,2021 12:10 PM","1,188.10","1,186.60","1,196.80","1,163.95",-17.7
1,"1,166.85","Nov 22,2021 12:11 PM","1,188.10","1,186.60","1,196.80","1,163.95",-19.75
1,"1,167.30","Nov 22,2021 12:12 PM","1,188.10","1,186.60","1,196.80","1,163.95",-19.3
1,"1,168.95","Nov 22,2021 12:13 PM","1,188.10","1,186.60","1,196.80","1,163.95",-17.65
1,"1,168.30","Nov 22,2021 12:14 PM","1,188.10","1,186.60","1,196.80","1,163.95",-18.3
1,"1,169.55","Nov 22,2021 12:15 PM","1,188.10","1,186.60","1,196.80","1,163.95",-17.05
1,"1,167.00","Nov 22,2021 12:16 PM","1,188.10","1,186.60","1,196.80","1,163.95",-19.6
1,"1,167.70","Nov 22,2021 12:17 PM","1,188.10","1,186.60","1,196.80","1,163.95",-18.9
1,"1,166.00","Nov 22,2021 12:18 PM","1,188.10","1,186.60","1,196.80","1,163.95",-20.6
1,"1,162.95","Nov 22,2021 12:19 PM","1,188.10","1,186.60","1,196.80","1,162.50",-23.65
1,"1,164.10","Nov 22,2021 12:20 PM","1,188.10","1,186.60","1,196.80","1,161.60",-22.5
1,"1,166.35","Nov 22,2021 12:21 PM","1,188.10","1,186.60","1,196.80","1,161.60",-20.25
1,"1,164.75","Nov 22,2021 12:22 PM","1,188.10","1,186.60","1,196.80","1,161.60",-21.85
1,"1,168.00","Nov 22,2021 12:23 PM","1,188.10","1,186.60","1,196.80","1,161.60",-18.6
1,"1,167.05","Nov 22,2021 12:24 PM","1,188.10","1,186.60","1,196.80","1,161.60",-19.55
1,"1,166.10","Nov 22,2021 12:25 PM","1,188.10","1,186.60","1,196.80","1,161.60",-20.5
