lat,lon,timezone,timezone_offset,current.dt,current.sunrise,current.sunset,current.temp,current.feels_like,current.pressure,current.humidity,current.dew_point,current.uvi,current.clouds,current.visibility,current.wind_speed,current.wind_deg,current.weather.id,current.weather.main,current.weather.description,current.weather.icon,minutely.dt,minutely.precipitation
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968480,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968540,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968600,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968660,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968720,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968780,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968840,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968900,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968960,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969020,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969080,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969140,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969200,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969260,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969320,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969380,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969440,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969500,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969560,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969620,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969680,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969740,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969800,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969860,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969920,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636969980,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970040,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970100,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970160,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970220,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970280,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970340,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970400,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970460,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970520,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970580,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970640,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970700,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970760,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970820,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970880,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636970940,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636971000,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636971060,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636971120,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636971180,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636971240,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636971300,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636971360,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636971360,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636971420,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636971480,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636971540,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636971600,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636971660,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636971720,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636971780,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636971840,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636971900,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636971960,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972020,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972080,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972140,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972200,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972260,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972320,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972380,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972440,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972500,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972560,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972620,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972680,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972740,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972800,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972860,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972920,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636972980,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636973040,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636973100,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636973160,0
17.38,78.48,Asia/Kolkata,19800,1636971345,1636937466,1636978226,301.41,304.18,1009,69,295.18,1.28,75,5000,2.06,120,721,Haze,haze,50d,1636973220,0
