Date,time,close,open,price,volume,valueChange,percentageChange,nifty50
22-11-2021,15:06:04,77464.75,77842,75469.4,14053,-2372.6,-3.047968963,17391.25
22-11-2021,15:07:04,77464.75,77842,75522.15,14289,-2319.85,-2.980203489,17407.75
22-11-2021,15:08:04,77464.75,77842,75645.95,14336,-2196.05,-2.821163382,17411.05
22-11-2021,15:09:04,77464.75,77842,75577.6,14350,-2264.4,-2.908969451,17405.3
22-11-2021,15:10:14,77464.75,77842,75580.2,14371,-2261.8,-2.905629352,17401.15
22-11-2021,15:11:14,77464.75,77842,75560.85,14401,-2281.15,-2.930487398,17405.95
22-11-2021,15:12:04,77464.75,77842,75649,14431,-2193,-2.817245189,17420.95
22-11-2021,15:13:05,77464.75,77842,75699.95,14513,-2142.05,-2.751792092,17416.7
22-11-2021,15:14:04,77464.75,77842,75601,14544,-2241,-2.878908558,17412.45
22-11-2021,15:15:04,77464.75,77842,75601.05,14599,-2240.95,-2.878844326,17413.45
22-11-2021,15:16:04,77464.75,77842,75693.6,14645,-2148.4,-2.759949642,17398.75
22-11-2021,15:17:05,77464.75,77842,75619.4,14696,-2222.6,-2.855270933,17404.75
22-11-2021,15:18:04,77464.75,77842,75624.2,14761,-2217.8,-2.849104596,17413.75
22-11-2021,15:19:04,77464.75,77842,75698,14778,-2144,-2.754297166,17420.5
22-11-2021,15:20:04,77464.75,77842,75710.7,14906,-2131.3,-2.737982066,17418.7
22-11-2021,15:21:04,77464.75,77842,75737,14971,-2105,-2.704195678,17419.8
22-11-2021,15:22:04,77464.75,77842,75750,15035,-2092,-2.687495183,17431.45
22-11-2021,15:23:05,77464.75,77842,75789.25,15261,-2052.75,-2.637072532,17425.05
22-11-2021,15:24:04,77464.75,77842,75775,15305,-2067,-2.655378844,17428.35
22-11-2021,15:25:04,77464.75,77842,75778,15342,-2064,-2.651524884,17434.3
22-11-2021,15:26:04,77464.75,77842,75749.4,15390,-2092.6,-2.688265975,17439.85
22-11-2021,15:27:05,77464.75,77842,75700.8,15475,-2141.2,-2.750700136,17442.75
22-11-2021,15:28:04,77464.75,77842,75745,15523,-2097,-2.69391845,17442.35
23-11-2021,09:20:07,75657.6,75800,75300.45,450,-499.55,-0.659036939,17241.85
23-11-2021,09:21:05,75657.6,75800,75169.55,483,-630.45,-0.831728232,17242.9
23-11-2021,09:22:08,75657.6,75800,75250,588,-550,-0.725593668,17265.1
23-11-2021,09:23:06,75657.6,75800,75349.9,622,-450.1,-0.593799472,17259.55
23-11-2021,09:24:06,75657.6,75800,75391.15,656,-408.85,-0.539379947,17251.85
23-11-2021,09:25:12,75657.6,75800,75393.8,676,-406.2,-0.535883905,17226.65
23-11-2021,09:26:05,75657.6,75800,75419.95,716,-380.05,-0.501385224,17226.95
23-11-2021,09:27:32,75657.6,75800,75415,746,-385,-0.507915567,17261.3
23-11-2021,09:28:06,75657.6,75800,75255.6,930,-544.4,-0.718205805,17249.45
23-11-2021,09:29:10,75657.6,75800,75421.3,961,-378.7,-0.499604222,17267.7
23-11-2021,09:30:13,75657.6,75800,75460,979,-340,-0.448548813,17303.05
23-11-2021,09:31:23,75657.6,75800,75597.55,1051,-202.45,-0.267084433,17331.25
23-11-2021,09:32:05,75657.6,75800,75800,1096,0,0,17341.65
23-11-2021,09:33:18,75657.6,75800,75910,1194,110,0.145118734,17339.6
