"","lat","lon","timezone","timezone_offset","current.dt","current.sunrise","current.sunset","current.temp","current.feels_like","current.pressure","current.humidity","current.dew_point","current.uvi","current.clouds","current.visibility","current.wind_speed","current.wind_deg","current.wind_gust","current.weather.id","current.weather.main","current.weather.description","current.weather.icon","minutely.dt","minutely.precipitation"
"79",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566600,0
"80",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566660,0
"81",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566720,0
"82",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566780,0
"83",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566840,0
"84",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566900,0
"85",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566960,0
"86",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567020,0
"87",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567080,0
"88",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567140,0
"89",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567200,0
"90",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567260,0
"91",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567320,0
"92",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567380,0
"93",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636567440,0
