temp,feels_like,temp_min,temp_max,pressure,humidity,Date and Time
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:50
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:53
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:53
297.38,298.16,296.88,297.38,1012,88,16-11-2021 18:56
297.38,298.16,296.88,297.38,1012,88,16-11-2021 18:56
297.38,298.16,296.88,297.38,1012,88,16-11-2021 18:59
297.38,298.16,296.88,297.38,1012,88,16-11-2021 18:59
297.38,298.16,296.88,297.38,1012,88,16-11-2021 19:02
297.38,298.16,296.88,297.38,1012,88,16-11-2021 19:02
297.38,298.16,296.88,297.38,1012,88,16-11-2021 19:05
297.38,298.16,296.88,297.38,1012,88,16-11-2021 19:05
297.38,298.16,296.88,297.38,1012,88,16-11-2021 19:08
297.38,298.16,296.88,297.38,1012,88,16-11-2021 19:08
297.38,298.16,296.88,297.38,1012,88,16-11-2021 19:11
297.38,298.16,296.88,297.38,1012,88,16-11-2021 19:11
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:14
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:14
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:17
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:17
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:20
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:20
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:23
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:23
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:26
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:26
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:29
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:29
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:32
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:32
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:35
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:35
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:38
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:38
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:41
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:41
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:44
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:44
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:47
297.38,298.16,296.88,297.38,1013,88,16-11-2021 19:47
295.38,296.27,295.38,297.88,1012,100,19-11-2021 08:42
295.38,296.27,295.38,297.88,1012,100,19-11-2021 08:45
295.38,296.27,295.38,297.88,1012,100,19-11-2021 08:48
295.38,296.27,295.38,297.88,1012,100,19-11-2021 08:51
295.38,296.27,295.38,297.88,1012,100,19-11-2021 08:54
295.38,296.27,295.38,297.88,1012,100,19-11-2021 08:57
295.38,296.27,295.38,297.88,1012,100,19-11-2021 09:00
295.38,296.27,295.38,297.88,1012,100,19-11-2021 09:03
295.38,296.27,295.38,297.88,1012,100,19-11-2021 09:06
295.38,296.27,295.38,297.88,1012,100,19-11-2021 09:09
295.38,296.27,295.38,297.88,1012,100,19-11-2021 09:12
295.38,296.27,295.38,297.88,1012,100,19-11-2021 09:15
295.38,296.27,295.38,297.88,1012,100,19-11-2021 09:18
295.38,296.27,295.38,297.88,1012,100,19-11-2021 09:21
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:24
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:27
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:30
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:33
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:36
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:39
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:42
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:45
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:48
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:51
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:54
296.38,297.21,296.38,297.88,1013,94,19-11-2021 09:57
296.38,297.21,296.38,297.88,1013,94,19-11-2021 10:00
296.38,297.21,296.38,297.88,1013,94,19-11-2021 10:03
296.38,297.21,296.38,297.88,1013,94,19-11-2021 10:06
296.38,297.21,296.38,297.88,1013,94,19-11-2021 10:09
296.38,297.21,296.38,297.88,1013,94,19-11-2021 10:12
297.38,298.16,297.38,297.88,1013,88,19-11-2021 10:15
297.38,298.16,297.38,297.88,1013,88,19-11-2021 10:18
297.38,298.16,297.38,297.88,1013,88,19-11-2021 10:21
297.38,298.16,297.38,297.88,1013,88,19-11-2021 10:24
297.38,298.16,297.38,298.88,1013,88,19-11-2021 10:27
297.38,298.16,297.38,298.88,1013,88,19-11-2021 10:30
297.38,298.16,297.38,298.88,1013,88,19-11-2021 10:33
297.38,298.16,297.38,298.88,1013,88,19-11-2021 10:36
297.38,298.16,297.38,298.88,1013,88,19-11-2021 10:39
297.38,298.16,297.38,298.88,1013,88,19-11-2021 10:42
297.38,298.16,297.38,298.88,1013,88,19-11-2021 10:45
297.38,298.03,297.38,297.88,1013,83,19-11-2021 10:48
297.38,298.03,297.38,297.88,1013,83,19-11-2021 10:51
297.38,298.03,297.38,297.88,1013,83,19-11-2021 10:54
297.38,298.03,297.38,297.88,1013,83,19-11-2021 10:57
297.38,298.03,297.38,297.88,1013,83,19-11-2021 11:00
297.38,298.03,297.38,297.88,1013,83,19-11-2021 11:03
297.38,298.03,297.38,297.88,1013,83,19-11-2021 11:06
296.38,297.06,296.38,297.88,1013,88,19-11-2021 11:09
296.38,297.06,296.38,297.88,1013,88,19-11-2021 11:12
296.38,297.06,296.38,297.88,1013,88,19-11-2021 11:15
296.38,297.06,296.38,297.88,1013,88,19-11-2021 11:18
296.38,297.06,296.38,296.88,1013,88,19-11-2021 11:21
296.38,297.06,296.38,296.88,1013,88,19-11-2021 11:24
296.38,297.06,296.38,296.88,1013,88,19-11-2021 11:27
295.38,296.27,295.38,296.88,1012,100,19-11-2021 11:30
295.38,296.27,295.38,296.88,1012,100,19-11-2021 11:33
295.38,296.27,295.38,296.88,1012,100,19-11-2021 11:36
295.38,296.27,295.38,296.88,1012,100,19-11-2021 11:39
295.38,296.27,295.38,296.88,1012,100,19-11-2021 11:42
295.38,296.27,295.38,296.88,1012,100,19-11-2021 11:45
295.38,296.27,295.38,296.88,1012,100,19-11-2021 11:48
295.38,296.27,295.38,296.88,1012,100,19-11-2021 11:51
295.38,296.27,295.38,296.88,1012,100,19-11-2021 11:54
295.38,296.27,295.38,296.88,1012,100,19-11-2021 11:57
295.38,296.27,295.38,296.88,1012,100,19-11-2021 12:00
295.38,296.27,295.38,296.88,1012,100,19-11-2021 12:03
295.38,296.27,295.38,296.88,1012,100,19-11-2021 12:06
295.38,296.27,295.38,296.88,1012,100,19-11-2021 12:09
295.38,296.27,295.38,296.88,1012,100,19-11-2021 12:12
295.38,296.27,295.38,296.88,1012,100,19-11-2021 12:15
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:18
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:21
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:24
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:27
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:30
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:33
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:36
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:39
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:42
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:45
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:48
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:51
296.38,297.21,296.38,296.88,1011,94,19-11-2021 12:54
296.38,297.21,296.38,297.88,1010,94,19-11-2021 12:57
296.38,297.21,296.38,297.88,1010,94,19-11-2021 13:00
296.38,297.21,296.38,297.88,1010,94,19-11-2021 13:03
296.38,297.21,296.38,297.88,1010,94,19-11-2021 13:07
296.38,297.21,296.38,297.88,1010,94,19-11-2021 13:10
296.38,297.21,296.38,297.88,1010,94,19-11-2021 13:13
296.38,297.21,296.38,297.88,1010,94,19-11-2021 13:16
296.38,297.21,296.38,297.88,1010,94,19-11-2021 13:19
297.38,298.16,297.38,297.88,1010,88,19-11-2021 13:22
297.38,298.16,297.38,297.88,1010,88,19-11-2021 13:25
297.38,298.16,297.38,297.88,1010,88,19-11-2021 13:28
297.38,298.16,297.38,297.88,1010,88,19-11-2021 13:31
297.38,298.16,297.38,297.88,1010,88,19-11-2021 13:34
297.38,298.16,297.38,297.88,1010,88,19-11-2021 13:37
297.38,298.16,297.38,297.88,1010,88,19-11-2021 13:40
297.38,298.16,297.38,297.88,1010,88,19-11-2021 13:43
297.38,298.16,297.38,297.88,1010,88,19-11-2021 13:46
297.38,298.16,297.38,297.88,1010,88,19-11-2021 13:49
298.38,299.13,297.88,298.38,1009,83,19-11-2021 13:52
298.38,299.13,297.88,298.38,1009,83,19-11-2021 13:55
298.38,299.13,297.88,298.38,1009,83,19-11-2021 13:58
298.38,299.13,297.88,298.38,1009,83,19-11-2021 14:01
298.38,299.13,297.88,298.38,1009,83,19-11-2021 14:04
298.38,299.13,297.88,298.38,1009,83,19-11-2021 14:07
