date,time,close,open,price,volume,value_change,percentage_change
2021-11-23,10:44:19,752,740.95,744.05,9180120,3.09999999999991,0.418381807139471
2021-11-23,10:46:20,752,740.95,743.5,9209239,2.54999999999995,0.344152776840536
2021-11-23,10:48:22,752,740.95,742.35,9266553,1.39999999999998,0.188946622579118
2021-11-23,10:50:23,752,740.95,742.25,9363622,1.29999999999995,0.175450435252035
2021-11-23,10:52:24,752,740.95,742.5,9406652,1.54999999999995,0.209190903569735
2021-11-23,10:54:26,752,740.95,743.2,9507651,2.25,0.303664214859302
2021-11-23,10:56:27,752,740.95,743.1,9553250,2.14999999999998,0.290168027532219
2021-11-23,10:58:28,752,740.95,743.3,9589454,2.34999999999991,0.31716040218637
2021-11-23,11:00:30,752,740.95,743.1,9944287,2.14999999999998,0.290168027532219
2021-11-23,11:02:31,752,740.95,743.2,10022649,2.25,0.303664214859302
2021-11-23,11:04:32,752,740.95,743.15,10046840,2.19999999999993,0.296916121195753
2021-11-23,11:06:34,752,740.95,743.55,10069569,2.59999999999991,0.35090087050407
2021-11-23,11:08:35,752,740.95,744.3,10136728,3.34999999999991,0.452122275457171
2021-11-23,11:10:36,752,740.95,744.75,10284784,3.79999999999995,0.512855118429038
2021-11-23,11:12:37,752,740.95,744.4,10318530,3.44999999999993,0.465618462784254
2021-11-23,11:14:38,752,740.95,744.45,10353434,3.5,0.472366556447803
2021-11-23,11:16:40,752,740.95,743.5,10371751,2.54999999999995,0.344152776840536
2021-11-23,11:18:41,752,740.95,743.65,10404349,2.69999999999993,0.364397057831154
2021-11-23,11:20:43,752,740.95,743.5,10439719,2.54999999999995,0.344152776840536
2021-11-23,11:22:44,752,740.95,743,10494762,2.04999999999995,0.276671840205136
2021-11-23,11:24:46,752,740.95,743.15,10603156,2.19999999999993,0.296916121195753
2021-11-23,11:26:47,752,740.95,742.5,10685459,1.54999999999995,0.209190903569735
2021-11-23,11:28:48,752,740.95,744.65,10754134,3.69999999999993,0.499358931101955
2021-11-23,11:30:50,752,740.95,745,10914825,4.04999999999995,0.546595586746738
2021-11-23,11:32:51,752,740.95,746.2,11076073,5.25,0.708549834671705
2021-11-23,11:34:52,752,740.95,747.65,11184427,6.69999999999993,0.904244550914357
2021-11-23,11:36:53,752,740.95,747.7,11338945,6.75,0.910992644577907
2021-11-23,11:38:54,752,740.95,747.3,11378638,6.34999999999991,0.857007895269574
2021-11-23,11:40:55,752,740.95,747.55,11430201,6.59999999999991,0.890748363587274
2021-11-23,11:42:56,752,740.95,747.9,11457933,6.94999999999993,0.937985019232058
2021-11-23,11:44:58,752,740.95,747.95,11512971,7,0.944733112895607
2021-11-23,11:46:59,752,740.95,748,11607458,7.04999999999995,0.951481206559141
2021-11-23,11:49:01,752,740.95,747.3,11637088,6.34999999999991,0.857007895269574
2021-11-23,11:51:02,752,740.95,748.15,11717353,7.19999999999993,0.971725487549758
2021-11-23,11:53:03,752,740.95,747.75,11818760,6.79999999999995,0.917740738241441
2021-11-23,11:55:05,752,740.95,746.7,11847549,5.75,0.776030771307106
2021-11-23,11:57:06,752,740.95,747,11871681,6.04999999999995,0.81651933328834
2021-11-23,11:59:07,752,740.95,747.1,11902827,6.14999999999998,0.830015520615423
2021-11-23,12:01:08,752,740.95,747.25,11940723,6.29999999999995,0.85025980160604
2021-11-23,12:03:10,752,740.95,747.8,11977943,6.84999999999991,0.924488831904974
