date,time,open,curr_price,prev_close,vol
17-11-2021,15:07:04,134,136.5,134.3,13372592
17-11-2021,15:12:04,134,136.55,134.3,14112979
17-11-2021,15:17:04,134,136.4,134.3,14396261
17-11-2021,15:22:04,134,136.5,134.3,14836815
17-11-2021,15:26:52,134,136.6,134.3,15134603
17-11-2021,15:27:09,134,136.65,134.3,15140330
17-11-2021,15:28:52,134,136.5,134.3,15223051
17-11-2021,15:30:27,134,136.55,134.3,15262367
17-11-2021,15:32:04,134,136.45,134.3,15512218
18-11-2021,09:18:03,136.6,136.65,136.45,186130
18-11-2021,09:20:27,136.6,136.95,136.45,346435
18-11-2021,09:23:04,136.6,136.9,136.45,466936
18-11-2021,09:24:46,136.6,136.95,136.45,511546
18-11-2021,09:28:04,136.6,136.9,136.45,683701
18-11-2021,09:28:52,136.6,136.7,136.45,717702
18-11-2021,09:30:27,136.6,136.6,136.45,815159
18-11-2021,09:32:03,136.6,136.8,136.45,878616
18-11-2021,09:33:04,136.6,136.8,136.45,954543
18-11-2021,09:34:46,136.6,136.7,136.45,1007586
18-11-2021,09:38:04,136.6,137,136.45,1157525
18-11-2021,09:38:52,136.6,137.05,136.45,1166594
18-11-2021,09:40:27,136.6,137.15,136.45,1200101
18-11-2021,09:42:03,136.6,137.2,136.45,1231632
18-11-2021,09:43:04,136.6,137.35,136.45,1249151
18-11-2021,09:48:05,136.6,137.25,136.45,1345686
18-11-2021,09:53:04,136.6,137.45,136.45,1663378
18-11-2021,09:58:04,136.6,137.25,136.45,1793437
18-11-2021,10:03:04,136.6,137.05,136.45,1914195
18-11-2021,10:08:05,136.6,137.1,136.45,2033513
18-11-2021,10:13:04,136.6,137.05,136.45,2171302
18-11-2021,10:18:04,136.6,137,136.45,2358539
18-11-2021,10:23:04,136.6,137.1,136.45,2518661
18-11-2021,10:28:05,136.6,137.45,136.45,2856279
18-11-2021,10:33:06,136.6,137,136.45,3135634
18-11-2021,10:38:06,136.6,136.65,136.45,3280604
18-11-2021,10:43:04,136.6,136,136.45,3495835
18-11-2021,10:48:05,136.6,136.1,136.45,3644355
18-11-2021,10:53:04,136.6,136.2,136.45,3753105
18-11-2021,10:58:04,136.6,136.15,136.45,3786080
18-11-2021,11:03:04,136.6,136.2,136.45,3818015
18-11-2021,11:08:05,136.6,136.25,136.45,3837198
18-11-2021,11:13:04,136.6,136.2,136.45,3870717
18-11-2021,11:18:04,136.6,136.05,136.45,3977527
18-11-2021,11:23:04,136.6,136,136.45,4038526
18-11-2021,11:28:04,136.6,135.9,136.45,4087599
18-11-2021,11:33:03,136.6,135.75,136.45,4163415
18-11-2021,11:39:01,136.6,135.55,136.45,4466928
18-11-2021,11:43:03,136.6,135.75,136.45,4482010
18-11-2021,11:48:04,136.6,135.85,136.45,4500758
18-11-2021,11:51:17,136.6,135.9,136.45,4520297
18-11-2021,11:53:03,136.6,136,136.45,4545495
18-11-2021,11:54:45,136.6,135.85,136.45,4557540
18-11-2021,11:58:03,136.6,135.6,136.45,4588157
18-11-2021,11:58:52,136.6,135.55,136.45,4590722
18-11-2021,12:00:27,136.6,135.7,136.45,4602533
18-11-2021,12:02:03,136.6,135.55,136.45,4618017
18-11-2021,12:03:03,136.6,135.55,136.45,4625566
18-11-2021,12:04:45,136.6,135.6,136.45,4633316
18-11-2021,12:08:03,136.6,135.55,136.45,4668057
18-11-2021,12:08:52,136.6,135.5,136.45,4682423
18-11-2021,12:10:27,136.6,135.55,136.45,4740723
18-11-2021,12:12:03,136.6,135.55,136.45,4742530
18-11-2021,12:13:04,136.6,135.6,136.45,4744344
18-11-2021,12:14:45,136.6,135.5,136.45,4750413
18-11-2021,12:18:03,136.6,135.5,136.45,4779474
18-11-2021,12:18:52,136.6,135.5,136.45,5811733
18-11-2021,12:20:26,136.6,135.4,136.45,5816046
18-11-2021,12:22:03,136.6,135.4,136.45,5828761
18-11-2021,12:23:03,136.6,135.35,136.45,5829846
18-11-2021,12:24:46,136.6,135.4,136.45,5842887
18-11-2021,12:28:03,136.6,135.3,136.45,5861522
18-11-2021,12:28:52,136.6,135.35,136.45,5866131
18-11-2021,12:30:27,136.6,135.25,136.45,5885545
18-11-2021,12:32:03,136.6,135.25,136.45,5898613
18-11-2021,12:33:03,136.6,135.25,136.45,5906180
18-11-2021,12:34:45,136.6,135.1,136.45,5923756
18-11-2021,12:38:24,136.6,134.95,136.45,6050145
18-11-2021,12:39:02,136.6,134.9,136.45,6050897
18-11-2021,12:40:33,136.6,135.05,136.45,6070435
18-11-2021,12:42:20,136.6,135.3,136.45,6093857
18-11-2021,12:44:29,136.6,135.25,136.45,6149877
18-11-2021,12:45:06,136.6,135.15,136.45,6154564
18-11-2021,12:48:12,136.6,135.3,136.45,6172181
18-11-2021,12:48:54,136.6,135.3,136.45,6173104
18-11-2021,12:50:27,136.6,135.25,136.45,6180830
18-11-2021,12:53:03,136.6,135.5,136.45,6191776
18-11-2021,12:58:20,136.6,135.35,136.45,6209513
18-11-2021,13:26:03,136.6,136,136.45,7835067
18-11-2021,13:31:04,136.6,135.9,136.45,7912618
18-11-2021,13:36:04,136.6,136.1,136.45,7964517
18-11-2021,13:41:04,136.6,136.05,136.45,7989963
18-11-2021,13:46:04,136.6,136,136.45,8029176
18-11-2021,13:51:04,136.6,136.1,136.45,8047704
18-11-2021,13:56:05,136.6,135.95,136.45,8090147
18-11-2021,14:01:04,136.6,135.9,136.45,8117298
18-11-2021,14:06:04,136.6,135.9,136.45,8148182
18-11-2021,14:11:04,136.6,135.7,136.45,8179677
18-11-2021,14:16:04,136.6,135.95,136.45,8204013
18-11-2021,14:21:04,136.6,135.85,136.45,8221008
18-11-2021,14:26:04,136.6,135.6,136.45,8262965
18-11-2021,14:31:04,136.6,135.65,136.45,8371701
18-11-2021,14:36:04,136.6,135.2,136.45,8440454
18-11-2021,14:41:04,136.6,135.35,136.45,8532156
18-11-2021,14:46:04,136.6,135.4,136.45,8590545
18-11-2021,14:51:04,136.6,135.9,136.45,8670041
18-11-2021,14:56:04,136.6,136.1,136.45,8755098
18-11-2021,15:01:05,136.6,136.1,136.45,8882996
18-11-2021,15:06:04,136.6,135.65,136.45,9058274
18-11-2021,15:11:04,136.6,135.5,136.45,9194135
18-11-2021,15:16:04,136.6,135.2,136.45,9346626
18-11-2021,15:21:04,136.6,135.1,136.45,9546893
18-11-2021,15:26:04,136.6,135,136.45,9809366
18-11-2021,15:36:04,136.6,135.3,136.45,15622933
22-11-2021,08:58:52,136.6,134.9,136.45,15691209
22-11-2021,08:59:17,136.6,134.9,136.45,15691209
22-11-2021,09:00:03,136.6,134.9,136.45,15691209
22-11-2021,09:01:03,136.6,134.9,136.45,15691209
22-11-2021,09:32:02,135,135.4,135.3,1479825
22-11-2021,09:37:12,135,135.1,135.3,1595128
22-11-2021,09:42:05,135,134.65,135.3,1695522
22-11-2021,09:47:03,135,134.15,135.3,2015832
22-11-2021,09:52:03,135,135.1,135.3,2213093
22-11-2021,09:57:03,135,135.15,135.3,2387803
22-11-2021,10:02:03,135,135,135.3,2420032
22-11-2021,10:07:03,135,134.4,135.3,2530644
22-11-2021,10:12:03,135,134.2,135.3,2655902
22-11-2021,10:17:03,135,133.8,135.3,2764623
22-11-2021,10:22:03,135,133.55,135.3,2860588
22-11-2021,10:27:03,135,133.6,135.3,2925342
22-11-2021,10:32:03,135,133.25,135.3,3023581
22-11-2021,10:37:03,135,133.55,135.3,3189191
22-11-2021,10:42:04,135,133.25,135.3,3253925
22-11-2021,10:47:03,135,132.7,135.3,3354314
22-11-2021,10:52:03,135,132.35,135.3,3525825
22-11-2021,10:57:03,135,132.5,135.3,3628794
22-11-2021,11:02:03,135,132.55,135.3,3689398
22-11-2021,11:07:03,135,132.9,135.3,3823451
22-11-2021,11:12:03,135,132.65,135.3,3882278
22-11-2021,11:17:03,135,132.75,135.3,3975334
22-11-2021,11:22:03,135,132.65,135.3,4040816
22-11-2021,11:27:03,135,132.7,135.3,4131854
22-11-2021,11:32:03,135,132.9,135.3,4234431
22-11-2021,11:37:03,135,132.85,135.3,4290390
22-11-2021,11:42:03,135,132.65,135.3,4385261
22-11-2021,11:47:03,135,132.9,135.3,4609413
22-11-2021,11:48:20,135,132.95,135.3,4624783
22-11-2021,11:48:52,135,133,135.3,4626806
22-11-2021,11:49:17,135,132.9,135.3,4630450
22-11-2021,11:50:27,135,132.9,135.3,4647540
22-11-2021,11:52:02,135,132.85,135.3,4669680
22-11-2021,11:54:45,135,132.55,135.3,4700550
22-11-2021,11:55:44,135,132.55,135.3,4716696
22-11-2021,11:58:20,135,132.55,135.3,4764902
22-11-2021,11:58:52,135,132.7,135.3,4788258
22-11-2021,11:59:17,135,132.55,135.3,4798328
22-11-2021,12:00:26,135,132.55,135.3,4806597
22-11-2021,12:02:03,135,132.45,135.3,4819303
22-11-2021,12:04:45,135,132.1,135.3,4850071
22-11-2021,12:05:44,135,132.15,135.3,4882465
22-11-2021,12:08:20,135,132.1,135.3,4941538
22-11-2021,12:08:52,135,132.1,135.3,4947044
22-11-2021,12:09:17,135,132.05,135.3,4957308
22-11-2021,12:10:27,135,131.9,135.3,5085901
22-11-2021,12:12:03,135,132.1,135.3,5154573
