Stock_Name,Date_Time,Price,Open,Previous Close,Volume,Value (Lacs),i VWAP,Beta,High,Low
Laurus Labs,18-11-2021 15:17,482.6,486.5,484,"13,54,113.00","6,534.95",478.26,0.840.77,486.5,471
Laurus Labs,18-11-2021 15:27,481.35,486.5,484,"14,60,600.00","7,030.60",478.54,0.840.77,486.5,471
Laurus Labs,18-11-2021 16:07,482.05,486.5,484,"15,80,630.00","7,619.43",478.82,0.840.77,486.5,471
Laurus Labs,18-11-2021 16:19,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.77,486.5,471
Laurus Labs,18-11-2021 16:29,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.77,486.5,471
Laurus Labs,19-11-2021 09:03,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 09:16,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 09:26,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 10:22,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 10:30,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 10:58,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 11:09,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 11:17,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 11:27,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 12:16,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 12:26,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 12:59,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 13:10,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 13:17,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 13:26,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 14:08,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 14:20,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 14:26,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 15:04,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 15:16,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,19-11-2021 15:26,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,22-11-2021 09:01,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,22-11-2021 09:15,482.05,486.5,484,"15,82,591.00","7,628.88",478.82,0.840.78,486.5,471
Laurus Labs,22-11-2021 09:22,480.1,485,482.05,"91,696.00",440.23,484.38,0.840.78,486.85,480
Laurus Labs,22-11-2021 09:29,480.1,485,482.05,"91,696.00",440.23,484.38,0.840.78,486.85,480
Laurus Labs,22-11-2021 10:24,481.35,485,482.05,"15,45,103.00","7,445.85",486.06,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 10:57,480.4,485,482.05,"17,61,052.00","8,460.09",485.59,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 11:07,480.4,485,482.05,"17,61,052.00","8,460.09",485.59,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 11:17,482.3,485,482.05,"19,42,573.00","9,369.03",485.26,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 11:26,482.3,485,482.05,"19,42,573.00","9,369.03",485.26,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 12:19,485.4,485,482.05,"22,39,882.00","10,872.39",485.42,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 12:26,485.4,485,482.05,"22,39,882.00","10,872.39",485.42,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 12:59,482.1,485,482.05,"26,55,724.00","12,803.25",484.41,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 13:10,482.1,485,482.05,"26,55,724.00","12,803.25",484.41,0.840.78,495.95,467.35
Laurus Labs,22-11-2021 13:17,482.1,485,482.05,"26,55,724.00","12,803.25",484.41,0.840.78,495.95,467.35
